 Program PROFILE (Applied Aerodynamics Branch, NASA Ames Research Center)

 Operating mode:  0 - DISPLAY         
 Control file  :                                 
 Geometry file : case2.pinput                            
 Output file id: case2
 Profiles found:  1

 Control file was absent - all defaults taken.

1*    GA(W)-1 AIRFOIL WITH BAD COORDINATE POINTS   *                             

 Upper surface           

 Number of points:  40

 Derivatives and curvature calculated by nonparametric finite differencing.


        X               Y             Y'             Y"          CURVATURE
  0.0000000E+00  0.0000000E+00   0.811333E+01  -0.161333E+04  -0.295328E+01
  0.2000000E-02  0.1300000E-01   0.488667E+01  -0.161333E+04  -0.130005E+02
  0.5000000E-02  0.2040000E-01   0.215429E+01  -0.208254E+03  -0.155441E+02
  0.1250000E-01  0.3070000E-01   0.178833E+01   0.110667E+03   0.128657E+02
  0.2500000E-01  0.6170000E-01   0.758000E+00  -0.275520E+03  -0.139448E+03
  0.3750000E-01  0.4965000E-01  -0.232400E+00   0.117056E+03   0.108175E+03
  0.5000000E-01  0.5589000E-01   0.461067E+00  -0.610133E+01  -0.456939E+01
  0.7500000E-01  0.6551000E-01   0.342200E+00  -0.340800E+01  -0.288643E+01
  0.1000000E+00  0.7300000E-01   0.269800E+00  -0.238400E+01  -0.214552E+01
  0.1250000E+00  0.7900000E-01   0.220000E+00  -0.160000E+01  -0.149049E+01
  0.1500000E+00  0.8400000E-01   0.161000E+02   0.127200E+04   0.303041E+00
  0.1750000E+00  0.8840000E+00   0.160000E+00  -0.254720E+04  -0.245243E+04
  0.2000000E+00  0.9200000E-01  -0.210820E+02   0.847840E+03   0.901809E-01
  0.2500000E+00  0.9770000E-01   0.960000E-01  -0.720000E+00  -0.710160E+00
  0.3000000E+00  0.1016000E+00   0.630000E-01  -0.600000E+00  -0.596446E+00
  0.3500000E+00  0.1040000E+00   0.331000E-01  -0.596000E+00  -0.595022E+00
  0.4000000E+00  0.1049100E+00   0.450000E-02  -0.548000E+00  -0.547983E+00
  0.4500000E+00  0.1044500E+00  -0.233000E-01  -0.564000E+00  -0.563541E+00
  0.5000000E+00  0.1025800E+00  -0.535000E-01  -0.644000E+00  -0.641245E+00
  0.5500000E+00  0.9910000E-01  -0.877333E-01  -0.725333E+00  -0.717039E+00
  0.5750000E+00  0.9668000E-01  -0.107800E+00  -0.880000E+00  -0.864880E+00
  0.6000000E+00  0.9371000E-01  -0.132400E+00  -0.108800E+01  -0.106001E+01
  0.6250000E+00  0.9006000E-01  -0.154400E+00  -0.672000E+00  -0.648667E+00
  0.6500000E+00  0.8599000E-01  -0.174000E+00  -0.896000E+00  -0.856796E+00
  0.6750000E+00  0.8136000E-01  -0.193000E+00  -0.624000E+00  -0.590691E+00
  0.7000000E+00  0.7634000E-01  -0.208800E+00  -0.640000E+00  -0.600317E+00
  0.7250000E+00  0.7092000E-01  -0.224200E+00  -0.592000E+00  -0.550013E+00
  0.7500000E+00  0.6513000E-01  -0.237000E+00  -0.432000E+00  -0.398001E+00
  0.7750000E+00  0.5907000E-01  -0.245400E+00  -0.240000E+00  -0.219845E+00
  0.8000000E+00  0.5286000E-01  -0.252200E+00  -0.304000E+00  -0.277142E+00
  0.8250000E+00  0.4646000E-01  -0.259600E+00  -0.288000E+00  -0.261160E+00
  0.8500000E+00  0.3988000E-01  -0.266200E+00  -0.240000E+00  -0.216576E+00
  0.8750000E+00  0.3315000E-01  -0.269800E+00  -0.480000E-01  -0.431984E-01
  0.9000000E+00  0.2639000E-01  -0.270800E+00  -0.320000E-01  -0.287772E-01
  0.9250000E+00  0.1961000E-01  -0.270400E+00   0.640000E-01   0.575718E-01
  0.9500000E+00  0.1287000E-01  -0.270400E+00  -0.640000E-01  -0.575718E-01
  0.9750000E+00  0.6090000E-02  -0.272117E+00  -0.733333E-01  -0.658819E-01
  0.9900000E+00  0.2000000E-02  -0.263167E+00   0.126667E+01   0.114562E+01
  0.9950000E+00  0.7000000E-03  -0.270000E+00  -0.400000E+01  -0.359933E+01
  0.1000000E+01 -0.7000000E-03  -0.290000E+00  -0.400000E+01  -0.354369E+01

1*    GA(W)-1 AIRFOIL WITH BAD COORDINATE POINTS   *                             

 Lower surface           

 Number of points:  40

 Derivatives and curvature calculated by nonparametric finite differencing.


        X               Y             Y'             Y"          CURVATURE
  0.0000000E+00  0.0000000E+00  -0.591000E+01   0.126000E+04   0.585085E+01
  0.2000000E-02 -0.9300000E-02  -0.339000E+01   0.126000E+04   0.285376E+02
  0.5000000E-02 -0.1380000E-01  -0.132667E+01   0.115556E+03   0.252009E+02
  0.1250000E-01 -0.2050000E-01  -0.750333E+00   0.381333E+02   0.195149E+02
  0.2500000E-01 -0.2690000E-01  -0.456000E+00   0.896000E+01   0.674904E+01
  0.3750000E-01 -0.3190000E-01  -0.356000E+00   0.704000E+01   0.588626E+01
  0.5000000E-01 -0.3580000E-01  -0.292000E+00   0.320000E+01   0.283039E+01
  0.7500000E-01 -0.4210000E-01  -0.224000E+00   0.224000E+01   0.208140E+01
  0.1000000E+00 -0.4700000E-01  -0.178000E+00   0.144000E+01   0.137418E+01
  0.1250000E+00 -0.5100000E-01  -0.146000E+00   0.112000E+01   0.108512E+01
  0.1500000E+00 -0.5430000E-01  -0.120000E+00   0.960000E+00   0.939631E+00
  0.1750000E+00 -0.5700000E-01  -0.100000E+00   0.640000E+00   0.630519E+00
  0.2000000E+00 -0.5930000E-01  -0.840000E-01   0.640000E+00   0.633285E+00
  0.2500000E+00 -0.6270000E-01  -0.520000E-01   0.640000E+00   0.637413E+00
  0.3000000E+00 -0.6450000E-01  -0.250000E-01   0.440000E+00   0.439588E+00
  0.3500000E+00 -0.6520000E-01  -0.400000E-02   0.400000E+00   0.399990E+00
  0.4000000E+00 -0.6490000E-01   0.170000E-01   0.440000E+00   0.439809E+00
  0.4500000E+00 -0.6350000E-01   0.390000E-01   0.440000E+00   0.438998E+00
  0.5000000E+00 -0.6100000E-01   0.650000E-01   0.600000E+00   0.596217E+00
  0.5500000E+00 -0.5700000E-01   0.106667E+00   0.106667E+01   0.104872E+01
  0.5750000E+00 -0.5400000E-01   0.124000E+00   0.320000E+00   0.312759E+00
  0.6000000E+00 -0.5080000E-01   0.142000E+00   0.112000E+01   0.108696E+01
  0.6250000E+00 -0.4690000E-01   0.160000E+00   0.320000E+00   0.308094E+00
  0.6500000E+00 -0.4280000E-01   0.170000E+00   0.480000E+00   0.459919E+00
  0.6750000E+00 -0.3840000E-01   0.176000E+00   0.210942E-13   0.201507E-13
  0.7000000E+00 -0.3400000E-01   0.180000E+00   0.320000E+00   0.305055E+00
  0.7250000E+00 -0.2940000E-01   0.182000E+00  -0.160000E+00  -0.152367E+00
  0.7500000E+00 -0.2490000E-01   0.180000E+00  -0.555112E-14  -0.529186E-14
  0.7750000E+00 -0.2040000E-01   0.178000E+00  -0.160000E+00  -0.152686E+00
  0.8000000E+00 -0.1600000E-01   0.168000E+00  -0.640000E+00  -0.613830E+00
  0.8250000E+00 -0.1200000E-01   0.148000E+00  -0.960000E+00  -0.929300E+00
  0.8500000E+00 -0.8600000E-02   0.124000E+00  -0.960000E+00  -0.938277E+00
  0.8750000E+00 -0.5800000E-02   0.100000E+00  -0.960000E+00  -0.945778E+00
  0.9000000E+00 -0.3600000E-02   0.660000E-01  -0.176000E+01  -0.174856E+01
  0.9250000E+00 -0.2500000E-02   0.200000E-01  -0.192000E+01  -0.191885E+01
  0.9500000E+00 -0.2600000E-02  -0.300000E-01  -0.208000E+01  -0.207720E+01
  0.9750000E+00 -0.4000000E-02  -0.918333E-01  -0.286667E+01  -0.283078E+01
  0.9900000E+00 -0.5700000E-02  -0.178333E+00  -0.866667E+01  -0.826908E+01
  0.9950000E+00 -0.6700000E-02  -0.230000E+00  -0.120000E+02  -0.111071E+02
  0.1000000E+01 -0.8000000E-02  -0.290000E+00  -0.120000E+02  -0.106311E+02

         
   Maximum thickness/chord (current axes) . .  94.1000% at X/C = 0.17500
   Maximum camber/chord . . . . . . . . . . .  41.3500% at X/C = 0.17500
   Unnormalized area  . . . . . . . . . . . . 0.130643E+00
   Moment of inertia about X axis . . . . . . 0.445042E-02

   L.E.:  0.000000E+00  0.000000E+00  Chord:  0.100000E+01
   Mean-line angle at T.E. (deg.) . . . . . .       -15.11
