                     CASE  14A 12.5 DEGREE CONE M=3.00                  1
0.0       23.0      16.0                          3.0                   2
3.00      1.4       24.0      23.3                                      3
0.000001  5.        0.001                                               4    
0.        2.375     3.300     3.325     3.350     3.375     3.400       5A
3.425     3.450     3.475     3.500     3.525     3.550     3.575       5A
3.600     3.625     3.650     3.675     3.700     3.725     3.750       5A
3.775     4.000                                                         5A 
0.0       0.526     0.730     0.7355    0.7405    0.745     0.750       6
0.754     0.7575    0.7615    0.765     0.7675    0.770     0.772       6
0.773     0.774     0.775     0.775     0.773     0.7715    0.768       6
0.765     0.7325                                                        6
12.5      12.5      12.15     11.5      10.85     10.2      9.5         7
8.8       8.1       7.3       6.5       5.63      4.7       3.6         7
2.4       1.0       -0.7      -2.6      -4.7      -6.8      -8.0        7
-8.0                                                                    7
2.375     2.775     2.825     2.875     2.925     2.975     3.025       8A
3.075     3.125     3.175     3.225     3.275     3.325     3.375       8A
3.425     4.000                                                         8A
1.000     1.000     1.000     0.999     0.998     0.9975    0.997       9
0.995     0.993     0.990     0.987     0.984     0.979     0.973       9
0.966     0.876                                                         9
0.0       0.0       -0.3      -0.7      -1.1      -1.5      -2.0        10
-2.5      -3.1      -3.8      -4.4      -5.3      -6.3      -7.5        10
-8.0                                                                    10
0.1       0.02216   2.75      2.60      5.25      12.5      2.0         11
DONE

